#Time;Power[W];RoomTemp[C];RoomHumid[%];EnvTemp[C];EnvHumid[%];EnvRadiation[W/m2];Setpoint[C]
17/07/2017 00:00:04;737.85;29.5;39.9;30.2;48.0;0.0;27
17/07/2017 00:00:11;738.21;29.5;39.9;30.2;48.0;0.0;27
17/07/2017 00:00:17;737.28;29.5;40.3;30.2;48.0;0.0;27
17/07/2017 00:00:26;739.64;29.5;40.7;30.2;48.0;0.0;27
17/07/2017 00:00:33;743.5;29.5;40.6;30.2;48.0;0.0;27
17/07/2017 00:00:39;744.79;29.5;40.6;30.2;48.0;0.0;27
17/07/2017 00:00:46;744.58;29.5;40.7;30.2;48.0;0.0;27
17/07/2017 00:00:53;742.22;29.6;41.0;30.2;48.0;0.0;27
17/07/2017 00:00:59;739.57;29.6;41.5;30.2;48.0;0.0;27
17/07/2017 00:01:06;739.57;29.6;41.6;30.2;48.0;0.0;27
17/07/2017 00:01:13;746.79;29.7;42.8;30.2;48.0;0.0;27
17/07/2017 00:01:20;746.36;29.7;42.8;30.2;48.0;0.0;27
17/07/2017 00:01:27;749.23;29.8;43.1;30.2;48.0;0.0;27
17/07/2017 00:01:33;750.8;29.9;43.4;30.2;48.0;0.0;27
17/07/2017 00:01:40;751.87;29.9;43.4;30.2;48.0;0.0;27
17/07/2017 00:01:47;750.16;29.9;44.1;30.2;48.0;0.0;27
17/07/2017 00:01:53;749.51;30.0;44.2;30.1;48.0;0.0;27
17/07/2017 00:02:00;749.73;30.0;44.2;30.1;48.0;0.0;27
17/07/2017 00:02:09;750.37;30.1;44.6;30.1;48.0;0.0;27
17/07/2017 00:02:15;750.94;30.2;44.6;30.1;48.0;0.0;27
17/07/2017 00:02:22;750.3;30.2;44.8;30.1;48.0;0.0;27
17/07/2017 00:02:29;750.87;30.2;44.9;30.1;48.0;0.0;27
17/07/2017 00:02:35;753.66;30.2;44.9;30.1;48.0;0.0;27
17/07/2017 00:02:42;753.66;30.2;44.9;30.1;48.0;0.0;27
17/07/2017 00:02:49;756.52;30.2;44.9;30.1;48.0;0.0;27
17/07/2017 00:02:56;757.67;30.2;44.9;30.1;48.0;0.0;27
17/07/2017 00:03:02;758.6;30.3;44.9;30.1;48.0;0.0;27
17/07/2017 00:03:09;761.6;30.3;44.7;30.1;48.0;0.0;27
17/07/2017 00:03:16;760.1;30.4;44.7;30.1;48.0;0.0;27
17/07/2017 00:03:22;764.75;30.4;44.9;30.1;48.0;0.0;27
17/07/2017 00:03:30;767.89;30.4;44.9;30.1;48.0;0.0;27
17/07/2017 00:03:37;764.25;30.4;44.9;30.1;48.0;0.0;27
17/07/2017 00:03:43;766.75;30.5;44.8;30.1;48.0;0.0;27
17/07/2017 00:03:50;768.54;30.5;44.8;30.1;48.0;0.0;27
17/07/2017 00:03:57;794.5;30.5;44.9;30.1;48.0;0.0;27
17/07/2017 00:04:03;829.05;30.5;45.1;30.1;48.0;0.0;27
17/07/2017 00:04:10;865.31;30.5;45.2;30.1;48.0;0.0;27
17/07/2017 00:04:16;892.35;30.5;45.2;30.1;48.0;0.0;27
