#Time;Power[W];RoomTemp[C];RoomHumid[%];EnvTemp[C];EnvHumid[%];EnvRadiation[W/m2];Setpoint[C]
08/07/2017 00:00:04;0.85;29.200000762939453;55.3;22.7;70.0;0.0;27
08/07/2017 00:00:11;0.78;29.200000762939453;55.3;22.7;70.0;0.0;27
08/07/2017 00:00:18;0.78;29.200000762939453;55.3;22.7;70.0;0.0;27
08/07/2017 00:00:24;0.78;29.200000762939453;55.3;22.7;70.0;0.0;27
08/07/2017 00:00:31;0.85;29.200000762939453;55.3;22.7;70.0;0.0;27
08/07/2017 00:00:38;0.78;29.200000762939453;55.3;22.7;70.0;0.0;27
08/07/2017 00:00:44;0.85;29.200000762939453;55.3;22.7;70.0;0.0;27
08/07/2017 00:00:51;0.85;29.200000762939453;55.4;22.7;70.0;0.0;27
08/07/2017 00:00:58;0.78;29.200000762939453;55.3;22.7;70.0;0.0;27
08/07/2017 00:01:04;0.78;29.200000762939453;55.3;22.7;70.0;0.0;27
08/07/2017 00:01:11;0.78;29.299999237060547;55.3;22.7;70.0;0.0;27
08/07/2017 00:01:17;0.78;29.299999237060547;55.3;22.7;70.0;0.0;27
08/07/2017 00:01:24;0.78;29.299999237060547;55.2;22.7;70.0;0.0;27
08/07/2017 00:01:31;0.78;29.299999237060547;55.2;22.7;70.0;0.0;27
08/07/2017 00:01:37;0.78;29.299999237060547;55.2;22.7;70.0;0.0;27
08/07/2017 00:01:44;0.78;29.299999237060547;55.2;22.7;70.0;0.0;27
08/07/2017 00:01:51;0.78;29.399999618530273;55.1;22.7;70.0;0.0;27
08/07/2017 00:01:57;0.78;29.399999618530273;55.1;22.7;69.0;0.0;27
08/07/2017 00:02:04;0.78;29.399999618530273;54.9;22.7;69.0;0.0;27
08/07/2017 00:02:11;0.78;29.5;54.8;22.7;69.0;0.0;27
08/07/2017 00:02:17;0.78;29.5;54.9;22.7;69.0;0.0;27
08/07/2017 00:02:27;0.85;29.5;54.8;22.7;69.0;0.0;27
08/07/2017 00:02:33;0.85;29.5;54.8;22.7;69.0;0.0;27
08/07/2017 00:02:40;0.78;29.5;54.8;22.7;69.0;0.0;27
08/07/2017 00:02:47;0.78;29.5;54.8;22.7;69.0;0.0;27
08/07/2017 00:02:53;0.78;29.5;54.8;22.7;69.0;0.0;27
08/07/2017 00:03:00;0.78;29.5;54.7;22.7;69.0;0.0;27
08/07/2017 00:03:07;0.78;29.5;54.7;22.7;69.0;0.0;27
08/07/2017 00:03:14;0.78;29.5;54.7;22.7;69.0;0.0;27
08/07/2017 00:03:20;0.78;29.5;54.7;22.7;69.0;0.0;27
08/07/2017 00:03:27;0.78;29.5;54.7;22.7;69.0;0.0;27
08/07/2017 00:03:34;0.85;29.5;54.7;22.7;69.0;0.0;27
08/07/2017 00:03:40;0.78;29.5;54.7;22.7;69.0;0.0;27
08/07/2017 00:03:47;0.71;29.5;54.6;22.7;69.0;0.0;27
08/07/2017 00:03:54;0.78;29.5;54.6;22.7;69.0;0.0;27
08/07/2017 00:04:00;0.85;29.5;54.6;22.7;69.0;0.0;27
08/07/2017 00:04:07;0.78;29.5;54.6;22.7;69.0;0.0;27
08/07/2017 00:04:13;0.78;29.5;54.6;22.7;69.0;0.0;27
