#Time;Power[W];RoomTemp[C];RoomHumid[%];EnvTemp[C];EnvHumid[%];EnvRadiation[W/m2];Setpoint[C]
09/07/2017 00:00:02;0.78;30.399999618530273;56.7;22.4;74.0;0.0;27
09/07/2017 00:00:08;0.85;30.399999618530273;56.7;22.4;74.0;0.0;27
09/07/2017 00:00:15;0.78;30.399999618530273;56.7;22.4;74.0;0.0;27
09/07/2017 00:00:22;0.85;30.399999618530273;56.8;22.4;74.0;0.0;27
09/07/2017 00:00:28;0.85;30.399999618530273;56.7;22.4;74.0;0.0;27
09/07/2017 00:00:35;0.78;30.399999618530273;56.7;22.4;74.0;0.0;27
09/07/2017 00:00:41;0.78;30.399999618530273;56.8;22.4;74.0;0.0;27
09/07/2017 00:00:48;0.78;30.399999618530273;56.8;22.4;74.0;0.0;27
09/07/2017 00:00:55;0.78;30.399999618530273;56.8;22.4;74.0;0.0;27
09/07/2017 00:01:02;0.78;30.399999618530273;56.8;22.4;74.0;0.0;27
09/07/2017 00:01:08;0.85;30.399999618530273;56.7;22.4;74.0;0.0;27
09/07/2017 00:01:15;0.85;30.399999618530273;56.7;22.4;74.0;0.0;27
09/07/2017 00:01:22;0.78;30.399999618530273;56.7;22.4;74.0;0.0;27
09/07/2017 00:01:28;0.78;30.399999618530273;56.7;22.4;74.0;0.0;27
09/07/2017 00:01:35;0.78;30.399999618530273;56.7;22.4;74.0;0.0;27
09/07/2017 00:01:42;0.85;30.399999618530273;56.7;22.4;74.0;0.0;27
09/07/2017 00:01:48;0.78;30.399999618530273;56.7;22.4;74.0;0.0;27
09/07/2017 00:01:55;0.78;30.399999618530273;56.7;22.4;74.0;0.0;27
09/07/2017 00:02:02;0.85;30.399999618530273;56.6;22.4;74.0;0.0;27
09/07/2017 00:02:08;0.85;30.5;56.6;22.4;74.0;0.0;27
09/07/2017 00:02:15;0.78;30.5;56.6;22.4;74.0;0.0;27
09/07/2017 00:02:21;0.85;30.399999618530273;56.6;22.4;74.0;0.0;27
09/07/2017 00:02:28;0.78;30.5;56.6;22.4;74.0;0.0;27
09/07/2017 00:02:34;0.78;30.5;56.6;22.4;74.0;0.0;27
09/07/2017 00:02:41;0.78;30.5;56.6;22.4;74.0;0.0;27
09/07/2017 00:02:47;0.78;30.5;56.6;22.4;74.0;0.0;27
09/07/2017 00:02:54;0.78;30.5;56.6;22.4;74.0;0.0;27
09/07/2017 00:03:01;0.78;30.5;56.5;22.4;74.0;0.0;27
09/07/2017 00:03:07;0.78;30.5;56.5;22.4;74.0;0.0;27
09/07/2017 00:03:14;0.85;30.5;56.6;22.4;74.0;0.0;27
09/07/2017 00:03:21;0.85;30.5;56.6;22.4;74.0;0.0;27
09/07/2017 00:03:27;0.78;30.5;56.6;22.4;74.0;0.0;27
09/07/2017 00:03:34;0.85;30.399999618530273;56.6;22.4;74.0;0.0;27
09/07/2017 00:03:41;0.78;30.399999618530273;56.6;22.4;74.0;0.0;27
09/07/2017 00:03:47;0.78;30.399999618530273;56.7;22.4;74.0;0.0;27
09/07/2017 00:03:54;0.78;30.399999618530273;56.7;22.4;74.0;0.0;27
09/07/2017 00:04:01;0.78;30.399999618530273;56.7;22.4;74.0;0.0;27
09/07/2017 00:04:07;0.78;30.399999618530273;56.7;22.4;74.0;0.0;27
09/07/2017 00:04:14;0.78;30.399999618530273;56.7;22.4;74.0;0.0;27
09/07/2017 00:04:21;0.78;30.399999618530273;56.7;22.4;74.0;0.0;27
09/07/2017 00:04:27;0.85;30.399999618530273;56.7;22.4;74.0;0.0;27
09/07/2017 00:04:34;0.78;30.399999618530273;56.7;22.4;74.0;0.0;27
09/07/2017 00:04:41;0.78;30.399999618530273;56.7;22.4;74.0;0.0;27
09/07/2017 00:04:48;0.85;30.399999618530273;56.8;22.4;74.0;0.0;27
09/07/2017 00:04:54;0.78;30.299999237060547;56.8;22.4;74.0;0.0;27
09/07/2017 00:05:01;0.78;30.299999237060547;56.8;22.4;74.0;0.0;27
09/07/2017 00:05:08;0.85;30.299999237060547;56.9;22.4;74.0;0.0;27
09/07/2017 00:05:14;0.78;30.299999237060547;57.0;22.4;74.0;0.0;27
09/07/2017 00:05:21;0.78;30.299999237060547;57.0;22.4;74.0;0.0;27
09/07/2017 00:05:28;0.78;30.299999237060547;56.9;22.4;74.0;0.0;27
09/07/2017 00:05:34;0.78;30.299999237060547;56.9;22.4;74.0;0.0;27
09/07/2017 00:05:41;0.78;30.299999237060547;56.9;22.4;74.0;0.0;27
09/07/2017 00:05:47;0.85;30.200000762939453;57.0;22.4;74.0;0.0;27
09/07/2017 00:05:54;0.78;30.200000762939453;57.0;22.4;74.0;0.0;27
09/07/2017 00:06:01;0.85;30.200000762939453;57.0;22.4;74.0;0.0;27
